Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Tawny-flanked Prinia,Tawny-flanked Prinia,649,2021-05-25,09:01,Heard,-3.364365,39.961038,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:01:32.102+0300
Common Bulbul,Dark-capped Bulbul,545,2021-05-25,09:01,Seen,-3.364365,39.961038,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:01:20.070+0300
Speckled Mousebird,Speckled Mousebird,390,2021-05-25,09:01,Seen,-3.364375,39.961037,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:01:03.965+0300
Common Drongo,Fork-tailed Drongo,517,2021-05-25,09:00,Seen,-3.364363,39.96102,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:00:42.363+0300
Unidentified,Unidentified,0,2021-05-25,09:00,Seen,-3.364393,39.961032,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:00:20.075+0300
Unidentified,Unidentified,0,2021-05-25,09:00,Seen,-3.364413,39.961022,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:00:15.413+0300
Red-cheeked Cordon-bleu,Red-cheeked Cordon-bleu,3974,2021-05-25,08:55,Heard,-3.363422,39.961637,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:55:22.887+0300
Grey-headed Bushshrike,Grey-headed Bushshrike,723,2021-05-25,08:53,Heard,-3.363175,39.961973,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:53:16.094+0300
Pale Batis,Pale Batis,675,2021-05-25,08:52,Heard,-3.363163,39.962007,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:52:36.213+0300
Striped Kingfisher,Striped Kingfisher,403,2021-05-25,08:52,Heard,-3.36315,39.962008,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:52:27.090+0300
Brown-crowned Tchagra,Brown-crowned Tchagra,714,2021-05-25,08:51,Heard,-3.363098,39.96211,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:51:38.808+0300
Grassland Pipit,African Pipit,692,2021-05-25,08:51,Seen,-3.363058,39.962158,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:51:22.546+0300
Northern Grey-headed Sparrow (Parrot-billed),Parrot-billed Sparrow,3834,2021-05-25,08:51,Seen,-3.363055,39.96215,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:51:06.255+0300
Yellow-fronted Canary,Yellow-fronted Canary,859,2021-05-25,08:50,Seen,-3.362818,39.962363,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:50:00.151+0300
Tawny-flanked Prinia,Tawny-flanked Prinia,649,2021-05-25,08:49,Heard,-3.36282,39.962348,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:49:49.742+0300
African Golden Oriole,African Golden Oriole,520,2021-05-25,08:44,Heard,-3.361405,39.96328,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T08:44:20.995+0300
